Country,Winter Olympics Gold
Afghanistan ,0
Algeria ,0
Argentina ,0
Armenia ,0
Australasia ,0
Australia ,6
Austria ,71
Azerbaijan ,0
Bahamas ,0
Bahrain ,0
Barbados ,0
Belarus ,8
Belgium ,2
Bermuda ,0
Bohemia ,0
Botswana ,0
Brazil ,0
British West Indies ,0
Bulgaria ,1
Burkina Faso ,0
Burundi ,0
Cameroon ,0
Canada ,77
Chile ,0
China ,22
Colombia ,0
Costa Rica ,0
Ivory Coast ,0
Croatia ,4
Cuba ,0
Cyprus ,0
Czech Republic ,10
Czechoslovakia ,2
Denmark ,0
Djibouti ,0
Dominican Republic ,0
Ecuador ,0
Egypt ,0
Eritrea ,0
Estonia ,4
Ethiopia ,0
Fiji ,0
Finland ,45
France ,41
Gabon ,0
Georgia ,0
Germany ,104
United Team of Germany ,8
East Germany ,39
West Germany ,11
Ghana ,0
Great Britain ,12
Greece ,0
Grenada ,0
Guatemala ,0
Guyana ,0
Haiti ,0
Hong Kong ,0
Hungary ,2
Iceland ,0
India ,0
Indonesia ,0
Iran ,0
Iraq ,0
Ireland ,0
Israel ,0
Italy ,42
Jamaica ,0
Japan ,17
Jordan ,0
Kazakhstan ,1
Kenya ,0
Kosovo ,0
North Korea ,0
South Korea ,33
Kuwait ,0
Kyrgyzstan ,0
Latvia ,1
Lebanon ,0
Liechtenstein ,2
Lithuania ,0
Luxembourg ,0
Malaysia ,0
Mauritius ,0
Mexico ,0
Moldova ,0
Mongolia ,0
Montenegro ,0
Morocco ,0
Mozambique ,0
Namibia ,0
Netherlands ,53
Netherlands Antilles ,0
New Zealand ,2
Niger ,0
Nigeria ,0
North Macedonia ,0
Norway ,148
Pakistan ,0
Panama ,0
Paraguay ,0
Peru ,0
Philippines ,0
Poland ,7
Portugal ,0
Puerto Rico ,0
Qatar ,0
Romania ,0
Russia ,47
Russian Empire ,0
Soviet Union ,78
Unified Team ,9
Olympic Athletes from Russia ,2
ROC ,6
San Marino ,0
Saudi Arabia ,0
Samoa ,0
Senegal ,0
Serbia ,0
Serbia and Montenegro ,0
Singapore ,0
Slovakia ,4
Slovenia ,4
South Africa ,0
Spain ,1
Sri Lanka ,0
Sudan ,0
Suriname ,0
Sweden ,65
Switzerland ,63
Syria ,0
Chinese Taipei ,0
Tajikistan ,0
Tanzania ,0
Thailand ,0
Togo ,0
Tonga ,0
Trinidad and Tobago ,0
Tunisia ,0
Turkey ,0
Turkmenistan ,0
Uganda ,0
Ukraine ,3
United Arab Emirates ,0
United States ,113
Uruguay ,0
Uzbekistan ,1
Venezuela ,0
Vietnam ,0
Virgin Islands ,0
Yugoslavia ,0
Zambia ,0
Zimbabwe ,0
Independent Olympic Athletes ,0
Independent Olympic Participants ,0
Mixed team ,0
